question_id,test_id,certification,exam_version,objectives_version,question_version,batch_id,domain_id,domain_name,objective_id,objective_text,topic,concept_key,difficulty,question_type,question_style,question_instruction,question_text,answer_a,answer_b,answer_c,answer_d,correct_answers,correct_explanation,answer_a_explanation,answer_b_explanation,answer_c_explanation,answer_d_explanation,study_topics,source_ids,reference_notes,date_added,date_modified,date_reviewed,review_status,reviewer,quality_flags,author_notes
SEC701-0000011,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,1.0,General Security Concepts,1.1,Compare and contrast various types of security controls.,Security control classification,physical-preventive-turnstile,easy,single_choice,direct,,An organization installs badge-controlled turnstiles at the entrance to stop unauthorized people from entering office areas. How should this control be classified?,Physical preventive control,Technical detective control,Operational corrective control,Managerial directive control,A,"The turnstiles are physical devices that block unauthorized entry before it occurs, making them physical preventive controls.",Turnstiles physically restrict entry and are intended to prevent unauthorized access before it happens.,"A technical detective control uses technology to identify or report events, such as an intrusion-detection alert. The turnstiles physically block entry.",An operational corrective control consists of people-driven activities that restore or repair conditions after an event. The turnstiles act before entry occurs.,A managerial directive control establishes expectations through governance or policy. The turnstiles are an implemented physical barrier.,Security control categories|Preventive controls|Physical access controls,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-53R5,CompTIA objective 1.1; NIST physical access and control-catalog concepts.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000012,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,1.0,General Security Concepts,1.2,Summarize fundamental security concepts.,Zero Trust components,zero-trust-policy-enforcement-point,medium,single_choice,scenario,,"In a Zero Trust architecture, a component sits in the data path and opens, monitors, or terminates a connection after receiving an access decision from the control plane. Which component performs this function?",Policy engine,Policy administrator,Policy enforcement point,Identity provider,C,"The policy enforcement point is positioned in the data path and enforces access decisions by enabling, monitoring, and terminating connections.",The policy engine evaluates inputs and makes the access decision. It does not directly handle the subject-to-resource traffic path.,"The policy administrator communicates and carries out the policy engine's decision, including directing the enforcement point. It is not the data-path component described.",The policy enforcement point controls the actual connection between the subject and resource and enforces the control-plane decision.,An identity provider supplies identity and authentication information. It does not directly open or terminate the protected connection.,Zero Trust architecture|Policy enforcement point|Policy engine|Policy administrator,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-207,CompTIA objective 1.2; NIST SP 800-207 logical components.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000013,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,1.0,General Security Concepts,1.3,Explain the importance of change management processes and the impact to security.,Change rollback planning,change-management-backout-plan,easy,single_choice,scenario,,"Before a firewall-rule change, an administrator documents the exact steps required to restore the previous rule set if validation fails. Which change-management artifact is being prepared?",Impact analysis,Backout plan,Maintenance window,Asset inventory,B,A backout plan defines how to reverse a change and restore the prior known-working configuration when implementation or validation fails.,"Impact analysis identifies systems, dependencies, risks, and business effects that the change could influence. It does not provide the reversal procedure.",The documented steps for returning to the previous firewall configuration are the backout plan.,A maintenance window identifies when the work may occur. It does not explain how to undo the change.,An asset inventory records systems and ownership information. It is useful for planning but is not a rollback procedure.,Change management|Backout plans|Configuration control|Firewall changes,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-128,CompTIA objective 1.3; NIST security-focused configuration and change control.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000014,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,2.0,"Threats, Vulnerabilities, and Mitigations",2.1,Compare and contrast common threat actors and motivations.,Insider threats,insider-threat-revenge-motivation,medium,single_choice,scenario,,"After being denied a promotion, a database administrator uses still-authorized access to copy confidential records and publicly releases them solely to embarrass the employer. Which classification best describes the actor and motivation?",An organized-crime actor motivated by financial gain,A hacktivist motivated by political beliefs,A nation-state actor motivated by espionage,An insider threat motivated by revenge,D,"The administrator is an insider because the person has authorized organizational access, and the stated purpose of harming the employer after a workplace grievance indicates revenge.",Organized-crime actors commonly pursue profit. The scenario identifies an employee acting to harm the employer without a financial objective.,Hacktivists are generally driven by ideological or political objectives. No such belief or cause is stated.,Nation-state espionage seeks strategic or intelligence value on behalf of a government. The scenario describes an internal grievance.,"The actor is an employee using legitimate access, and the retaliatory disclosure is motivated by revenge.",Threat actors|Insider threats|Threat motivations|Authorized access misuse,SRC-COMPTIA-SY0701-V6|SRC-CISA-INSIDER-THREAT,CompTIA objective 2.1; CISA insider-threat definition and mitigation guidance.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000015,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,2.0,"Threats, Vulnerabilities, and Mitigations",2.2,Explain common threat vectors and attack surfaces.,Supply-chain attacks,compromised-vendor-update-supply-chain,medium,single_choice,scenario,,Attackers compromise a software vendor's build system and insert malware into an update that the vendor distributes to customers. Which threat vector does this scenario demonstrate?,Watering-hole attack,Supply-chain compromise,Removable-media attack,On-path attack,B,"Compromising the vendor's development or distribution process uses a trusted supplier relationship to reach downstream customers, which is a supply-chain attack.",A watering-hole attack compromises a site that intended victims are likely to visit. The scenario compromises a vendor's product pipeline instead.,The attackers abuse the software supplier and its trusted update process to distribute malicious code to customers.,A removable-media attack relies on devices such as USB drives. No removable device is involved.,"An on-path attack intercepts or alters communications between parties. Here, the malicious code is inserted at the vendor before distribution.",Supply-chain risk|Software updates|Trusted vendors|Build-system compromise,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-161R1,CompTIA objective 2.2; NIST cybersecurity supply-chain risk guidance.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000016,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,2.0,"Threats, Vulnerabilities, and Mitigations",2.2,Explain common threat vectors and attack surfaces.,Message-based social engineering,smishing-payroll-text-message,easy,single_choice,scenario,,An employee receives a text message that claims to be from payroll and links to a lookalike sign-in page. Which term most specifically describes this attack?,Smishing,Vishing,Business email compromise,Watering-hole attack,A,Smishing is phishing delivered through SMS or another text-messaging service. The fake payroll message attempts to steal credentials through a malicious link.,"The attack is delivered by text message, making smishing the most specific term.",Vishing uses a voice call or voice message to conduct social engineering rather than a text message.,"Business email compromise uses email and impersonation to induce fraudulent actions, commonly payments or data disclosure. The channel here is SMS.",A watering-hole attack compromises a website frequently visited by a target group. The attacker directly sent a malicious message instead.,Smishing|Phishing channels|Credential harvesting|Brand impersonation,SRC-COMPTIA-SY0701-V6|SRC-CISA-PHISHING,CompTIA objective 2.2; CISA phishing-channel and recognition guidance.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000017,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,2.0,"Threats, Vulnerabilities, and Mitigations",2.3,Explain various types of vulnerabilities.,Race conditions,toctou-file-symlink-race,hard,single_choice,scenario,,"A privileged service checks that a temporary file is owned by an approved user. Before the service opens the file by pathname, an attacker replaces the path with a symbolic link to a protected file. Which vulnerability is being exploited?",Buffer overflow,SQL injection,Time-of-check time-of-use race condition,Virtual machine escape,C,The resource changes between the ownership check and the later use of the pathname. This is a time-of-check time-of-use race condition.,A buffer overflow writes beyond an allocated memory boundary. The scenario involves a change in file state between two operations.,SQL injection changes a database query through untrusted input. No SQL command or database query is involved.,"The attacker exploits the interval between checking the file and using it, invalidating the result of the earlier check.",A virtual machine escape crosses a virtualization boundary from a guest into the host or another guest. The scenario concerns filesystem timing.,Race conditions|TOCTOU|File-system security|Symbolic links,SRC-COMPTIA-SY0701-V6|SRC-MITRE-CWE367,CompTIA objective 2.3; MITRE CWE-367 definition and examples.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000018,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,3.0,Security Architecture,3.1,Compare and contrast security implications of different architecture models.,Container architecture,containers-shared-host-kernel,medium,single_choice,comparison,,Which security implication most directly distinguishes many application containers from traditional virtual machines?,Each container requires a separate guest operating system and hypervisor,Container images cannot be vulnerability-scanned before deployment,Containers cannot be segmented from one another at the network layer,"Multiple containers often share the host kernel, so a kernel compromise can affect several workloads",D,Containers commonly provide operating-system-level isolation while sharing the host kernel. A kernel or container-runtime compromise can therefore affect multiple containers on the host.,Traditional virtual machines commonly include separate guest operating systems. Containers generally package applications and dependencies while sharing the host kernel.,"Container images can and should be scanned for vulnerabilities, secrets, and policy violations before deployment.","Containers can be isolated with namespaces, network policies, segmentation, and other controls, although those controls must be configured correctly.",Shared-kernel architecture is a central security distinction because the kernel is part of the isolation boundary for multiple containers.,Containers vs virtual machines|Shared kernels|Container isolation|Container runtime security,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-190,CompTIA objective 3.1; NIST container architecture and security concerns.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000019,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,3.0,Security Architecture,3.2,"Given a scenario, apply security principles to secure enterprise infrastructure.",DMZ architecture,dmz-web-tier-internal-database,hard,single_choice,scenario,,A public e-commerce application requires a web server and a database server. Which design best limits direct exposure while preserving the required application flow?,"Place the web server in a DMZ, keep the database on an internal segment, and allow only the required database connection from the web server",Place both servers in the DMZ and permit Internet access to the web and database service ports,Place both servers on the internal user network and allow inbound Internet traffic to the entire subnet,Place the database in the DMZ and allow the internal web server to query it through any outbound port,A,"The public-facing web tier belongs in a DMZ, while the database remains on a more trusted internal segment. A narrowly scoped firewall rule permits only the application traffic that is required.",This design separates the exposed service from the sensitive data tier and applies least privilege to the permitted connection.,Exposing the database service to the Internet unnecessarily increases the attack surface even if the web server is also in the DMZ.,Placing public-facing systems on the user network and opening the subnet weakens segmentation and exposes unrelated internal hosts.,The database is the more sensitive tier and should not be the public-facing component. Allowing any outbound port also violates least privilege.,DMZ design|Network segmentation|Three-tier architecture|Firewall rules|Least privilege,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-41R1,CompTIA objective 3.2; NIST firewall placement and policy guidance.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000020,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,3.0,Security Architecture,3.2,"Given a scenario, apply security principles to secure enterprise infrastructure.",Failure modes,nac-policy-server-fail-closed,medium,single_choice,scenario,,A network access control appliance cannot reach its policy server. The security requirement states that devices that cannot be validated must not enter the production network until validation is restored. Which failure mode satisfies the requirement?,Fail-open,Active-active,Fail-closed,Load-balanced,C,"Fail-closed denies access when the control cannot validate or safely process the request, matching the requirement to block unverified devices.","Fail-open would permit access when the validation service is unavailable, contradicting the requirement.",Active-active describes multiple components operating concurrently for availability. It does not define whether access is allowed during validation failure.,Fail-closed preserves the security restriction by denying access until the control can validate the device.,Load balancing distributes requests across resources. It does not specify the authorization result when policy validation fails.,Fail-open vs fail-closed|Network access control|Secure failure modes,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-53R5,CompTIA objective 3.2; secure default and fail-safe control principles.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000021,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,4.0,Security Operations,4.1,"Given a scenario, apply common security techniques to computing resources.",Application allowlisting,kiosk-application-allowlisting,easy,single_choice,scenario,,"Shared kiosks should run only an approved browser and a management agent. Any other executable must be blocked, including previously unknown malware. Which technique best meets the requirement?",Signature-based denylisting,Application allowlisting,Full-disk encryption,Passive network monitoring,B,"Application allowlisting permits only explicitly approved software to execute, which blocks both known and unknown unauthorized programs on tightly controlled kiosks.",Denylisting blocks items already identified as unwanted. Newly created or unknown executables may not yet appear on the list.,Allowlisting matches the requirement by permitting the browser and agent while blocking everything else by default.,Full-disk encryption protects stored data when the device is powered off or the drive is removed. It does not restrict which programs can run.,Passive monitoring can observe traffic but does not prevent unauthorized executables from launching.,Application allowlisting|Endpoint hardening|Secure kiosks|Default deny,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-53R5,CompTIA objective 4.1; NIST software execution restriction controls.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000022,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,4.0,Security Operations,4.2,"Explain the security implications of proper hardware, software, and data asset management.",Media sanitization,ssd-cryptographic-erase-for-reuse,hard,single_choice,scenario,,A self-encrypting SSD that stored confidential data will be reassigned for reuse. The organization centrally manages the media-encryption key and has a validated cryptographic-erase process. Which action best sanitizes the data while allowing the drive to be reused?,Delete the files and empty the recycle bin,Perform a quick format of the SSD,Physically shred the SSD,Perform the validated cryptographic erase by securely destroying the media-encryption key,D,"A validated cryptographic erase sanitizes encrypted media by securely eliminating the key needed to decrypt the stored data, while leaving the physical device available for reuse.",File deletion normally removes references to data rather than making the underlying data infeasible to recover.,A quick format recreates filesystem structures but generally does not sanitize all previously stored data.,"Physical destruction can make recovery infeasible, but it also prevents the required reuse of the SSD.","When all target data is properly encrypted and the process is validated, destroying the encryption key can sanitize the drive without destroying the hardware.",Media sanitization|Cryptographic erase|SSD disposal and reuse|Data remanence,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-88R2,CompTIA objective 4.2; current NIST media-sanitization guidance.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000023,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,4.0,Security Operations,4.4,Explain security alerting and monitoring concepts and tools.,SIEM alert tuning,siem-approved-scanner-exception,medium,single_choice,scenario,,A SIEM generates thousands of alerts from an authorized vulnerability scanner during its approved weekly scan. Analysts want to reduce these false positives without suppressing the same activity from unapproved sources. What is the best tuning change?,"Add an exception scoped to the scanner identity, source addresses, and approved time window while retaining alerts for other sources",Disable the detection rule during every business day,Delete the scanner logs before they reach the SIEM,Raise the alert severity so analysts notice the events sooner,A,"A narrowly scoped exception preserves useful detection while recognizing the approved scanner, its known addresses, and its authorized schedule.",This approach reduces known benign alerts while continuing to detect equivalent activity from unexpected systems or times.,Disabling the rule for broad periods creates detection gaps unrelated to the approved scan.,"Deleting source logs removes evidence that may be useful for validation, troubleshooting, or later investigation.",Increasing severity does not reduce false positives and may make analyst workload worse.,SIEM tuning|False positives|Vulnerability scanners|Alert exceptions|Log preservation,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-137,CompTIA objective 4.4; continuous-monitoring analysis and response to findings.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000024,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,4.0,Security Operations,4.5,"Given a scenario, modify enterprise capabilities to enhance security.",Intrusion prevention,inline-ips-blocks-exploit-traffic,easy,single_choice,direct,,"Which capability is designed to operate inline, detect malicious traffic, and automatically block matching packets before they reach the intended target?",Intrusion detection system,Data loss prevention system,Intrusion prevention system,DNS filtering service,C,"An intrusion prevention system can inspect traffic inline and take active action, such as dropping packets or terminating sessions, when it detects malicious activity.",An intrusion detection system identifies and reports suspicious activity but is generally not the inline blocking control described.,Data loss prevention focuses on detecting or preventing unauthorized disclosure of sensitive data rather than broadly blocking exploit traffic.,An IPS combines detection with active prevention and can block malicious packets before they reach the target.,DNS filtering controls domain-name resolution or access based on domain reputation and policy. It does not inspect and block arbitrary exploit packets inline.,IDS vs IPS|Inline security controls|Network intrusion prevention,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-94,CompTIA objective 4.5; NIST intrusion detection and prevention definitions.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000025,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,4.0,Security Operations,4.7,Explain the importance of automation and orchestration related to secure operations.,Security automation safeguards,soar-high-impact-action-validation,hard,single_choice,scenario,,A SOAR playbook automatically disables a user account whenever a single geographically inconsistent sign-in alert fires. False positives are causing widespread account lockouts. Which improvement best preserves automation while reducing operational risk?,Disable all automated response actions and handle every alert manually,"Require corroborating signals or approval before disabling accounts, and provide a tested rollback path",Increase the playbook polling frequency so it reacts faster,Suppress geographically inconsistent sign-in alerts for every remote user,B,"High-impact automated actions should use sufficient validation, appropriate approval thresholds, and recovery mechanisms. Corroboration and rollback reduce false-positive harm without discarding automation.",Removing all automation avoids the specific lockout problem but also abandons the speed and consistency benefits that can be retained with safer controls.,"Corroborating evidence or an approval gate reduces erroneous disablements, while rollback supports quick recovery when an action is incorrect.",Faster polling would trigger the same faulty logic more quickly and does not improve decision quality.,Suppressing the alert for all remote users creates a broad monitoring blind spot and may hide genuine account compromise.,SOAR|Automation risks|Human approval gates|Corroborating evidence|Rollback procedures|Travel-anomaly alerts,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-53R5,"CompTIA objective 4.7; automated response, control validation, and recovery safeguards.",2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000026,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,4.0,Security Operations,4.9,"Given a scenario, use data sources to support an investigation.",Investigation data sources,packet-capture-http-request-response,medium,single_choice,scenario,,"During an investigation, an analyst needs to determine the exact unencrypted HTTP request and response bytes exchanged between a workstation and a server. Which data source most directly provides this information?",DNS resolver log,Authentication log,Vulnerability scan report,Packet capture,D,A packet capture records network packets and can reveal the headers and payload bytes of unencrypted HTTP traffic exchanged during the captured session.,A DNS log can show name-resolution queries and responses but does not contain the HTTP request and response payloads.,"An authentication log records sign-in events and related identity data, not the full network exchange.",A vulnerability report identifies findings and affected assets but does not preserve the session's transmitted bytes.,A packet capture provides the network-level evidence needed to reconstruct an unencrypted request and response.,Packet captures|Network investigations|HTTP traffic|Log and data-source selection,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-92,CompTIA objective 4.9; NIST log-management and investigation data-source concepts.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000027,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,5.0,Security Program Management and Oversight,5.1,Summarize elements of effective security governance.,Governance documents,encryption-standard-approved-algorithms,easy,single_choice,direct,,A security policy requires sensitive data to be encrypted. A second mandatory document lists the approved algorithms and minimum key lengths that all teams must use. What type of governance document is the second document?,Policy,Procedure,Standard,Guideline,C,"A standard provides mandatory, specific requirements that support a broader policy, such as approved encryption algorithms and minimum key sizes.",The policy states the high-level requirement to encrypt sensitive data. The second document supplies more specific mandatory rules.,A procedure provides step-by-step instructions for performing a task. A list of required algorithms and key lengths is a standard.,Standards translate policy into consistent mandatory technical or operational requirements.,A guideline is generally recommended rather than mandatory. The scenario states that every team must follow the document.,Policies vs standards|Procedures|Guidelines|Security governance,SRC-COMPTIA-SY0701-V6|SRC-NIST-CSF2,"CompTIA objective 5.1; NIST governance, policy, roles, and oversight concepts.",2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000028,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,5.0,Security Program Management and Oversight,5.4,Summarize elements of effective security compliance.,Privacy and data minimization,privacy-minimize-signup-data,medium,single_choice,scenario,,A newsletter signup form requests a full date of birth and a government identification number even though the service only needs an email address to deliver the newsletter. Which change best supports privacy compliance?,Collect only the email address and remove the unnecessary fields,Keep every field but encrypt the database,Keep every field and add a broad consent checkbox,Retain all signup data indefinitely for possible future analytics,A,Data minimization limits collection and processing to information that is necessary for the stated purpose. Removing unneeded sensitive fields reduces privacy risk and compliance burden.,Collecting only the information needed to provide the newsletter directly applies data minimization.,Encryption protects stored data but does not justify collecting sensitive information that the service does not need.,"Consent can be relevant, but a broad checkbox does not remove the risk created by unnecessary collection and processing.",Indefinite retention increases exposure and conflicts with limiting data processing to a defined purpose and period.,Data minimization|Privacy compliance|Purpose limitation|Data collection|Retention,SRC-COMPTIA-SY0701-V6|SRC-NIST-PRIVACY-FRAMEWORK,CompTIA objective 5.4; NIST Privacy Framework data-processing limitation and minimization.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000029,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,5.0,Security Program Management and Oversight,5.5,Explain types and purposes of audits and assessments.,Penetration testing approaches,black-box-external-penetration-test,medium,single_choice,scenario,,"An external penetration tester receives only the organization's public name and is given no credentials, network diagrams, source code, or internal configuration details. The tester is expected to simulate an uninformed outside attacker. Which assessment approach is being used?",White-box testing,Gray-box testing,Internal audit,Black-box testing,D,Black-box testing provides little or no internal knowledge and is intended to approximate the perspective of an external attacker discovering the environment independently.,"White-box testing provides extensive internal knowledge, such as architecture, credentials, configurations, or source code.",Gray-box testing provides partial knowledge or limited access. The tester in this scenario receives no internal information.,An internal audit evaluates controls and compliance from within an organization. It is not the external attack simulation described.,The absence of internal knowledge and credentials makes this a black-box assessment.,Black-box testing|White-box testing|Gray-box testing|Penetration testing,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-115,CompTIA objective 5.5; NIST technical security testing and assessment approaches.,2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
SEC701-0000030,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,5.0,Security Program Management and Oversight,5.6,"Given a scenario, implement security awareness practices.",Phishing awareness,phishing-reporting-rate-targeted-training,medium,single_choice,scenario,,"A phishing simulation shows that the employee click rate has decreased, but very few employees report suspicious messages to the security team. Which next step best addresses the remaining weakness?",Publicly identify employees who did not report the messages,"Provide targeted practice on the reporting process, then repeat the simulation and measure the reporting rate",Stop running simulations because the click rate improved,Block every external email attachment for all employees,B,"The remaining measurable gap is reporting behavior. Targeted practice, clear reporting instructions, and a later simulation directly teach and verify the needed response.",Public shaming can discourage participation and reporting. Awareness programs should build recognition and a reliable reporting culture.,"Training and practice focused on the reporting process address the observed weakness, and repeating the exercise provides a meaningful measurement.","A lower click rate is useful, but the low reporting rate shows that the awareness objective has not been fully met.",Blocking all attachments is a broad technical restriction that does not teach employees how to recognize and report phishing through other channels.,Security awareness|Phishing simulations|Reporting procedures|Awareness metrics,SRC-COMPTIA-SY0701-V6|SRC-CISA-PHISHING,"CompTIA objective 5.6; CISA anti-phishing training, reporting, simulation, and results-analysis guidance.",2026-07-19,2026-07-19,2026-07-19,review,initial-quality-review,,
